Transaction,Category,Description
Helped a local NGO with financial aid,Donations,Helped a local NGO with financial aid - Donations expense
Won a lottery prize,Income,Won a lottery prize - Income expense
Sponsored meals for homeless people,Donations,Sponsored meals for homeless people - Donations expense
Bought movie tickets at AMC,Entertainment,Bought movie tickets at AMC - Entertainment expense
Purchased an online course on Udemy,Education,Purchased an online course on Udemy - Education expense
Supported an orphanage,Donations,Supported an orphanage - Donations expense
Bought sushi from a Japanese restaurant,Food,Bought sushi from a Japanese restaurant - Food expense
Bonus credited to salary account,Income,Bonus credited to salary account - Income expense
Car rental service fee,Travel,Car rental service fee - Travel expense
Ordered cosmetics online,Shopping,Ordered cosmetics online - Shopping expense
Monthly metro card renewal,Transport,Monthly metro card renewal - Transport expense
Travel insurance purchase,Travel,Travel insurance purchase - Travel expense
Train ticket reservation,Travel,Train ticket reservation - Travel expense
Received rent from tenants,Income,Received rent from tenants - Income expense
Refinanced existing home loan,Loans,Refinanced existing home loan - Loans expense
Donated books to a library,Donations,Donated books to a library - Donations expense
Ordered pizza from Domino's,Food,Ordered pizza from Domino's - Food expense
Bought coffee at Starbucks,Food,Bought coffee at Starbucks - Food expense
Salary credited,Income,Salary credited - Income expense
Paid toll tax online,Transport,Paid toll tax online - Transport expense
Grocery shopping at Walmart,Food,Grocery shopping at Walmart - Food expense
Attended a music festival,Entertainment,Attended a music festival - Entertainment expense
Booked a weekend getaway,Travel,Booked a weekend getaway - Travel expense
Added money to retirement savings,Investments,Added money to retirement savings - Investments expense
Personal training session payment,Health & Fitness,Personal training session payment - Health & Fitness expense
Registered for an IT certification course,Education,Registered for an IT certification course - Education expense
Purchased PlayStation 5,Entertainment,Purchased PlayStation 5 - Entertainment expense
Paid hospital bill,Health & Fitness,Paid hospital bill - Health & Fitness expense
Paid rent for shared accommodation,Rent,Paid rent for shared accommodation - Rent expense
Sponsored education for underprivileged children,Donations,Sponsored education for underprivileged children - Donations expense
Dinner at McDonald's,Food,Dinner at McDonald's - Food expense
Increased investment in S&P 500 ETF,Investments,Increased investment in S&P 500 ETF - Investments expense
Cable TV subscription,Utilities,Cable TV subscription - Utilities expense
Closed auto loan with final payment,Loans,Closed auto loan with final payment - Loans expense
Uber ride payment,Transport,Uber ride payment - Transport expense
Amazon online shopping,Shopping,Amazon online shopping - Shopping expense
Mobile phone postpaid bill payment,Utilities,Mobile phone postpaid bill payment - Utilities expense
Flight upgrade fee,Travel,Flight upgrade fee - Travel expense
Purchased language learning app,Education,Purchased language learning app - Education expense
Paid EMI for home loan,Loans,Paid EMI for home loan - Loans expense
Bought school supplies for kids,Education,Bought school supplies for kids - Education expense
Concert tickets for weekend,Entertainment,Concert tickets for weekend - Entertainment expense
Started SIP investment plan,Investments,Started SIP investment plan - Investments expense
Bought fitness tracker,Health & Fitness,Bought fitness tracker - Health & Fitness expense
Water bill payment,Utilities,Water bill payment - Utilities expense
Contributed to disaster relief fund,Donations,Contributed to disaster relief fund - Donations expense
Netflix subscription payment,Entertainment,Netflix subscription payment - Entertainment expense
Bought clothes from H&M,Shopping,Bought clothes from H&M - Shopping expense
Flight tickets for vacation,Travel,Flight tickets for vacation - Travel expense
Bus ticket for outstation trip,Travel,Bus ticket for outstation trip - Travel expense
Spotify Premium monthly payment,Entertainment,Spotify Premium monthly payment - Entertainment expense
Paid tuition fees,Education,Paid tuition fees - Education expense
Business loan repayment,Loans,Business loan repayment - Loans expense
Mortgage loan payment for the house,Loans,Mortgage loan payment for the house - Loans expense
Subscribed to an educational magazine,Education,Subscribed to an educational magazine - Education expense
Paid for yoga classes,Health & Fitness,Paid for yoga classes - Health & Fitness expense
Bike service and maintenance,Transport,Bike service and maintenance - Transport expense
Refueled car at BP station,Transport,Refueled car at BP station - Transport expense
Dinner at Olive Garden,Food,Dinner at Olive Garden - Food expense
Received freelance payment,Income,Received freelance payment - Income expense
Enrolled in an MBA program,Education,Enrolled in an MBA program - Education expense
Sold an old furniture for cash,Income,received payment for selling old furnitures
Hotel booking in Los Angeles,Travel,Hotel booking in Los Angeles
Credit card bill payment,Bills,Credit card bill payment
Train ticket to Chicago,Travel,Train ticket to Chicago
Bought coffee at Starbucks,Food,Bought coffee at Starbucks
Netflix monthly subscription,Entertainment,Netflix monthly subscription
Dinner at a local restaurant,Food,Dinner at a local restaurant
Concert ticket for Taylor Swift,Entertainment,Concert ticket for Taylor Swift
Bought sunglasses from Ray-Ban,Shopping,Bought sunglasses from Ray-Ban
Taxi fare to airport,Travel,Taxi fare to airport
Internet bill for home,Bills,Internet bill for home
Shoes from Nike store,Shopping,Shoes from Nike store
Amazon online shopping,Shopping,Amazon online shopping
Theme park entry ticket,Entertainment,Theme park entry ticket
Flight ticket to New York,Travel,Flight ticket to New York
Water bill payment,Bills,Water bill payment
Gaming console purchase,Entertainment,Gaming console purchase
Phone recharge online,Bills,Phone recharge online
Bus pass renewal,Travel,Bus pass renewal
Movie ticket for Avengers,Entertainment,Movie ticket for Avengers
Lunch at Subway,Food,Lunch at Subway
Purchased clothes from H&M,Shopping,Purchased clothes from H&M
Bought a new laptop,Shopping,Bought a new laptop
Ordered pizza from Domino's,Food,Ordered pizza from Domino's
Paid electricity bill,Bills,Paid electricity bill
